"","user_id","business_id","stars"
"1","RQU7dwZTdCLfy7DQU2TYlQ","LPmFKFCwEMauGfYF0lWGnw",5
"2","53QaFbmZojYK0vv3RQagcw","IMnTtFn3c5qZ7gW0gWqPzA",4
"3","OVwdQ7JFDiZ3JGICBYuIHw","CVpKlqrjYCyjxnlkBCUK5A",5
"4","te_j2wG9cTAWxXc5T6M0ig","0Da5sfXzUQdiuQ1aru_8Aw",5
"5","4OrFB2TDRsbokoYMhUf1EA","VeiGa7h8p1I2yAIfgZjgtw",4
"6","-R36ZL1dtT2NkLXCQyh4lw","tR7wIIvJsLqI8keoLf8tpg",4
"7","tNgxmynb12Gvd7PL8xxeaQ","tbg4gR3jUUllR28cySo2kg",3
"8","xpOGJ35fchd9_jGbe71yVA","fUBqSWOI5EkyXboVvov4hA",4
"9","urMOIldWTZhbjlWgmL6CFw","C7FKNwSUlbUinT9cRSLXHA",2
"10","WjAVbnbIGPKt_fiTF7hABA","CxQ1m2iY4wQpXC64tSfWgQ",5
"11","Sg_BvnTHsbc1AABiJjaiPA","9bbwPNPYXqP83reSK-hASg",4
"12","nPsmZczCPq_VJ6IK2zXatQ","0zhKgVmSsCVoFUY54tDibw",1
"13","IEPCAUMKCGcEULrW55W7ww","yFaKiy8M22zuRi5xSkQLQQ",5
"14","MmnQS_CrP2pXqm9aeAGJLg","j9tMEV719PzFcc_wp8mzlw",3
"15","gGEXvrha_CDxqr7wxnOWRQ","hViJhiow-CJVryMoEKxGhQ",1
"16","ITephNGJ2YWJEXCNHBgVwA","9hjuKkPO0LryqAq1xSfpuA",2
"17","ZKMWFd6hrFQZ2r9l8AdV5w","gVJgVlEsWul-QbAcMiupzg",4
"18","GqHrL09yyKXq1OHa8DhDPQ","rP90TP7gOMzBFTrKWEEsOw",3
"19","fe1nv-DVb8sGDCrwAy14yQ","tzRNk1hqooBV3i-Q_yKP7g",4
"20","m40drjwVLbvAADxrhgx3LA","dLJgjRFphvHoQQsC9tEyTQ",5
"21","XwBPmnTW0NZVT8tUa21hFw","C44mTlN9hDsy9CGlgRQ8sw",4
"22","MgaSOOQ-b0fpP8zG77M_Jw","d6asV_ziLv0SpOUEy9BWmg",4
"23","zrHhzP4omVmB2yCFDzR00Q","QQIjsdcokFermi2ugoD6ow",3
"24","zBTy8aSfzqKzLOZnr9b-Pw","PUyZcKYvrNZLzgRfM9evRg",5
"25","9a0Pa7qSLT2EAVyITfBUew","yvxE2zQ3xwoREosD_n7v_w",2
"26","EfYrxfEryaFknF6uuz4Wjw","q2CDww5vB2ZvLg0fjEWrvQ",2
"27","ATUdC8c4fTBWThy6rvFStA","CKtZX-G9AIOPIHPXOK56sg",5
"28","x2K8YAc3TMOLkTwetvj5IA","2UsXJkyf9EB-jLGRZd0sww",4
"29","0tajir0IFOMwOphaARjqxQ","TvIxodalwg5K9KE-Thg0TA",4
"30","YFQuPin3yZ3ocmaE4UTluQ","QoC-UTIeginhgjNd2WQNsQ",5
"31","N_P2vI_kZaP6Mw3yDz6PPg","Zq8I8faj8_VTDFulo8yo6w",4
"32","_2csJlhc6SGgK6rRZYwD1g","WVt2GdaHqZNE5qUIJ7k3Eg",4
"33","mSUCDdN0CdCBESGPnMTTaQ","yHkg_GiVpMCnHuMO4j7O0A",5
"34","0oER0ba9hJQHqJWu3d30tA","xGS_hoJmjSSkChEtPwQPhw",5
"35","NPYpeD0kKKuDm-TtmwxhHg","FWYba7-a8yCX7J2QqG720w",1
"36","rWad0m47ODrKbYh50TNk3A","0nkw7pLj753EobaGt-HvAw",5
"37","7kKoR3aJuNHutjb4_1meow","GTYA7fQK71WN9NU6ro0WmA",3
"38","yi8MUcO3O6ALXErrFuj2_A","X_OnAUXVGHjyWP9zoPVLTA",1
"39","Iyb9Kk3cznjyTPrkqjg9nw","VFslQjSgrw4Mu5_Q1xk1KQ",5
"40","ybIoXWnrkfC12PJKTs7pJA","uv7n9Af48hRVlpLNojvi7g",4
"41","IJkKZObEXSDi3lByvp9Sew","Dh3X5NuzAcFZSSl72a5lWg",4
"42","LJqXtIopDYQ8NHrQo1vZeQ","Nzn4B6Y-Rj2QOhSe7UTMzw",3
"43","ZV2MSoBzIiuvJe5kUfG1_w","rBeILr7kFzi7iPxSpP-TWg",5
"44","5b34ZU8UopKOD6zXMaWDcA","3ejW1TGlpSVhaspKversrw",1
"45","sEL_lWIu8Nguur23joB6ag","hzSyQBWeoX94WOpUtxuWVg",4
"46","LsWVdlrL-bW_CcXOwmbGcg","87h9WI6h9cjNHxQd0FizBA",1
"47","H-MSCtHX7EaO1B-QBmP1rg","OZ-GCbwkmQjz5LmsSUG8GA",4
"48","YZxToagdzhveUKlfPvpsyw","_9ZZv5V-uM5BXx3P-HslIw",5
"49","yvjjnSy_GrIlG2DTSQfW2g","NvdS8_9gyk1bdbOl8F5OOQ",2
"50","5hS9juuaN3kTV5f13nfFZQ","VFslQjSgrw4Mu5_Q1xk1KQ",5
"51","-oldzSOhMXzZhZBuoh0tlQ","6GXMHrB8u-3nq87zE1Av0w",1
"52","ShV9VYtBQ3YKHG5MHu74hg","dM7aCIJT_cWH3BNgMi9dNw",4
"53","PqEMzxn_7OHpqpwr0bXYkA","Lw7lLPi2Da-daCK2rxtPIw",2
"54","0chKHDXxNsM7wXj10nnfQw","hibPCAbDkDgeuAzbWt5UAA",3
